id,phase,kind,tag,cycle_day_min,cycle_day_max,title,body
17,menstrual,mood,Mind,1,5,Permission to rest,You are not being lazy — your body is doing real hormonal work. Lights low hot water bottle kind self-talk.
18,menstrual,mood,Mind,1,5,Lower your expectations,Move non-urgent tasks to next week. Protecting your energy now means a stronger follicular phase later.
19,menstrual,mood,Mind,1,5,Journaling without agenda,Write what you feel without trying to fix it. This phase brings emotional clarity that is worth capturing.
20,menstrual,mood,Mind,1,5,Comfort media,A familiar show a good book or a playlist you love. Lean into comfort not productivity today.
21,menstrual,mood,Mind,1,5,Self-compassion practice,Talk to yourself the way you would talk to a friend who is struggling. You deserve the same kindness.
22,menstrual,mood,Mind,1,5,Reduce social obligations,This is an inward phase. Cancel what you can. Being around people can feel draining right now.
23,menstrual,mood,Mind,1,5,Cry if you need to,Hormones are genuinely lower right now — this is biological not personal. Tears can release cortisol.
24,menstrual,mood,Mind,1,5,Gratitude for your body,Your body shows up every month. Even when it is painful — try to find one thing to appreciate.
25,menstrual,care,Care,1,5,Heat therapy for cramps,A hot water bottle on your lower abdomen relaxes uterine muscles and significantly reduces cramping pain.
26,menstrual,care,Care,1,5,Track your flow intensity,Note whether flow is heavy medium or light. Tracking helps spot patterns and flags anomalies early.
27,menstrual,care,Care,1,5,Comfortable clothing,Loose waistbands and soft fabrics reduce pressure on a bloated abdomen. A small thing that matters.
28,menstrual,care,Care,1,5,Limit caffeine today,Caffeine constricts blood vessels and can worsen cramping and headaches. Swap for herbal tea.
29,menstrual,care,Care,1,5,Magnesium supplement,400mg magnesium glycinate before bed reduces period cramps insomnia and next-day fatigue.
30,menstrual,care,Care,1,5,Reduce alcohol,Alcohol disrupts sleep spikes cortisol and depletes B vitamins you need to manage period symptoms.
31,menstrual,care,Care,1,5,Change products regularly,Replace pads or tampons every 4-6 hours even on light days to prevent irritation and infection.
32,menstrual,care,Care,1,5,Epsom salt bath,A warm bath with Epsom salts delivers magnesium transdermally and relaxes the whole body.
33,follicular,food,Nourish,6,13,Fresh and bright meals,Light proteins fermented foods and citrus thrive now. Your gut is more receptive and absorption is higher.
34,follicular,food,Nourish,6,13,Probiotic foods,Yogurt kefir kimchi and sauerkraut support gut health which is strongly linked to estrogen metabolism.
35,follicular,food,Nourish,6,13,Zinc-rich foods,Chickpeas hemp seeds and cashews support follicle development as estrogen rises this phase.
36,follicular,food,Nourish,6,13,Cruciferous vegetables,Broccoli Brussels sprouts and cauliflower help the liver process and clear old estrogen effectively.
37,follicular,food,Nourish,6,13,Lean protein for muscle,Chicken eggs and legumes support muscle repair especially as training intensity increases this week.
38,follicular,food,Nourish,6,13,Sprouted seeds and grains,Sprouts contain phytoestrogens and enzymes that support rising estrogen and improve digestion.
39,follicular,food,Nourish,6,13,Flaxseeds daily,1-2 tablespoons of ground flaxseed supports healthy estrogen metabolism and adds fibre to your diet.
40,follicular,food,Nourish,6,13,Avoid excess sugar,Sugar spikes disrupt the steady estrogen rise of this phase. Whole fruit is always a better choice.
41,follicular,move,Move,6,13,Build strength this week,Energy is climbing — a great week to add resistance training or try a new class you've been postponing.
42,follicular,move,Move,6,13,Try something new,Your body adapts faster to new movement patterns in the follicular phase. New sport new route new class.
43,follicular,move,Move,6,13,High intensity cardio,HIIT runs and spin classes are well-tolerated now. Estrogen supports endurance and recovery speed.
44,follicular,move,Move,9,13,Progressive overload week,Push a little harder than last time. Your body recovers faster now — use it to build real strength.
45,follicular,move,Move,6,13,Dance or dynamic movement,Energy and coordination are rising. Dance classes or agility drills feel fun and achievable right now.
46,follicular,move,Move,6,13,Morning workouts,Cortisol is naturally higher in the morning and pairs well with estrogen to make early exercise feel great.
47,follicular,move,Move,6,13,Outdoor runs or hikes,Estrogen boosts mood and stamina. Take your movement outside for a double benefit.
48,follicular,move,Move,6,13,Group fitness classes,Social and physical energy are rising together. Group workouts feel more motivating now than solo sessions.
49,follicular,mood,Mind,6,13,Start the project,Better focus and risk tolerance mean this is the time to pitch the idea send the email or begin the plan.
50,follicular,mood,Mind,6,13,Learn something new,Cognitive sharpness is rising. Take the online course read the dense book or tackle the complex problem.
51,follicular,mood,Mind,6,13,Social energy is returning,Estrogen boosts verbal fluency and social confidence. Reconnect with people you've been avoiding.
52,follicular,mood,Mind,6,13,Set your cycle intentions,Use this clear-headed phase to set goals for the next 3 weeks. Write them down with specific actions.
53,follicular,mood,Mind,6,13,Creative brainstorming,New ideas flow more easily now. Brainstorm design and write without censoring yourself.
54,follicular,mood,Mind,6,13,Tackle the hard conversation,Rising estrogen improves your emotional resilience. Have the discussion you have been postponing.
55,follicular,mood,Mind,6,13,Morning pages or journaling,Write 3 pages first thing to clear mental clutter and channel the rising creative energy of this phase.
56,follicular,mood,Mind,6,13,Plan your social calendar,You will feel most energised in the next 2 weeks. Schedule the dinners events and meetings now.
57,follicular,care,Care,6,13,Skin care window,Estrogen rising means clearer brighter skin. A simple routine of cleanser moisturiser and SPF is enough.
58,follicular,care,Care,6,13,Hair is stronger now,Hair tends to be shinier and grows faster this phase. Good time for a trim or a strengthening treatment.
59,follicular,care,Care,6,13,Schedule appointments,Higher energy and mental clarity make this the best week to attend medical dental or wellness appointments.
60,follicular,care,Care,6,13,Cervical mucus awareness,You may notice discharge becoming creamier as ovulation approaches. This is healthy and expected.
61,follicular,care,Care,6,13,Increase water intake,Rising estrogen helps fluid balance but hydration still matters especially as exercise intensity increases.
62,follicular,care,Care,6,13,Dry brushing for lymphatics,Gentle dry brushing before showering stimulates lymphatic drainage and gives skin a healthy glow.
63,follicular,care,Care,6,13,Sun and fresh air,Estrogen boosts serotonin response to sunlight. Even 20 minutes outside dramatically improves mood.
64,follicular,care,Care,6,13,Cold shower contrast,End showers with 30 seconds of cold water. Improves circulation reduces inflammation and boosts alertness.
65,ovulation,food,Nourish,14,16,Antioxidant-rich foods,Berries cruciferous veg and plenty of water support egg quality and protect cells from oxidative stress.
66,ovulation,food,Nourish,14,16,Zinc for egg health,Pumpkin seeds shellfish and chickpeas support the final stages of follicle maturation around ovulation.
67,ovulation,food,Nourish,14,16,Light and energising meals,Metabolism and energy are peaking. Fresh salads smoothies and easy-to-digest meals suit this phase.
68,ovulation,food,Nourish,14,16,Fibre to clear estrogen,Oats lentils apples and flaxseed help your body clear the estrogen peak to prevent post-ovulation dominance.
69,ovulation,food,Nourish,14,16,Anti-inflammatory focus,Turmeric ginger and olive oil reduce the inflammation that can accompany the ovulation process.
70,ovulation,food,Nourish,14,16,Vitamin E foods,Almonds sunflower seeds and avocado support cervical mucus quality and reproductive health.
71,ovulation,move,Move,14,16,Train hard recover well,Strength and endurance peak at ovulation. Lift heavy run fast — then prioritise sleep to lock in gains.
72,ovulation,move,Move,14,16,Peak performance day,This is your physiological high point. Races competitions or any challenge you have been planning.
73,ovulation,move,Move,14,16,Team sport or classes,Social and physical energy align perfectly. Group workouts feel more fun and motivating now.
74,ovulation,move,Move,14,16,Interval training,Your body handles intensity well. Sprint intervals hill repeats or circuit training are great choices.
75,ovulation,move,Move,14,16,Outdoor adventure activity,High energy and good mood — hike cycle or do anything active outside you have been planning.
76,ovulation,move,Move,14,16,Power and speed work,Fast-twitch muscle activation is enhanced near ovulation. Plyometrics sprints and power lifting work well.
77,ovulation,mood,Mind,14,16,Speak up,Verbal fluency and confidence peak at ovulation. Schedule the hard talk the date or the job interview.
78,ovulation,mood,Mind,14,16,Collaborative work,You are at your most socially magnetic. Work with others pitch ideas or lead the meeting.
79,ovulation,mood,Mind,14,16,Bold decisions,Risk tolerance is at its highest. Trust your gut on decisions you have been hesitating about.
80,ovulation,mood,Mind,14,16,Express yourself,Creative confidence is high. Share your work perform on stage or have the honest conversation you avoided.
81,ovulation,mood,Mind,14,16,Deepen connections,Emotional and physical closeness feels more natural now. Nurture your most important relationships.
82,ovulation,mood,Mind,14,16,Negotiate and advocate,Your persuasiveness peaks at ovulation. Ask for the raise book the meeting negotiate the deal.
83,ovulation,care,Care,14,16,Notice ovulation signs,Egg-white cervical mucus tender breasts and mild twinges on one side are all normal ovulation markers.
84,ovulation,care,Care,14,16,OPK or temperature tracking,This is the easiest time to confirm ovulation with a thermometer or LH strip if you are cycle tracking.
85,ovulation,care,Care,14,16,Breast tenderness is normal,Mild breast sensitivity around ovulation is caused by the hormone surge. A supportive bra helps during exercise.
86,ovulation,care,Care,14,16,Sleep quality check,Despite high energy some people sleep lightly near ovulation. A cool dark room and no screens before bed.
87,ovulation,care,Care,14,16,Mittleschmerz awareness,Some people feel a mild cramp on one side as the follicle releases. Note which side and the timing.
88,ovulation,care,Care,14,16,Peak window is short,The ovulation window is only 12-36 hours. If you are tracking fertility make sure your data is up to date.
89,luteal,food,Nourish,17,28,Steady your blood sugar,Complex carbs plus protein every few hours keeps mood and energy stable and reduces sugar cravings.
90,luteal,food,Nourish,17,28,Magnesium-rich foods,Dark chocolate avocado and leafy greens reduce PMS symptoms including bloating mood swings and insomnia.
91,luteal,food,Nourish,17,28,Reduce salt and alcohol,Both worsen bloating water retention and mood instability. Cook from scratch when you can this week.
92,luteal,food,Nourish,17,28,B6-rich foods,Chicken chickpeas and bananas support serotonin production which naturally dips in the luteal phase.
93,luteal,food,Nourish,17,28,Calcium for PMS symptoms,Dairy or fortified plant milk and leafy greens reduce mood-related PMS symptoms significantly.
94,luteal,food,Nourish,22,28,Dark chocolate (real),70% or higher dark chocolate satisfies cravings and delivers magnesium. One or two squares is enough.
95,luteal,food,Nourish,17,28,Reduce caffeine gradually,Caffeine spikes cortisol which worsens PMS anxiety and breast tenderness. Swap one coffee for matcha.
96,luteal,food,Nourish,22,28,Comfort food done well,Cravings are real and hormonal. Satisfy them with nutrient-dense versions: sweet potato pasta lentil dal.
97,luteal,move,Move,17,21,Walks over sprints,Pilates walking and mobility work support your body without spiking cortisol which rises naturally now.
98,luteal,move,Move,17,21,Moderate strength training,You can still lift but reduce volume by 20%. Focus on technique over intensity this week.
99,luteal,move,Move,22,28,Restorative yoga,Slow holds and supported poses match your dropping energy and help manage pre-period anxiety.
100,luteal,move,Move,17,28,Low-impact cardio,Swimming cycling at a comfortable pace or a leisurely jog — keep it enjoyable not gruelling.
101,luteal,move,Move,22,28,Listen to your energy,Some days luteal energy crashes suddenly. On those days a short walk or gentle stretch counts fully.
102,luteal,move,Move,17,28,Breathwork and mobility,Diaphragmatic breathing and hip-opening stretches reduce the anxiety and tension common late in the cycle.
103,luteal,move,Move,17,28,Pilates core work,Pilates suits the luteal phase perfectly — it builds strength without taxing the nervous system.
104,luteal,move,Move,22,28,Short outdoor walks,Fresh air and light movement are the lowest-effort highest-return activities when energy crashes late cycle.
105,luteal,mood,Mind,17,28,Edit don't begin,You are better at finishing than starting right now. Close open loops wrap up projects and tie loose ends.
106,luteal,mood,Mind,17,28,Protect your capacity,Say no to non-essential commitments this week. You need that energy for your body and existing priorities.
107,luteal,mood,Mind,17,28,Name the PMS pattern,Irritability or sadness has a biological cause this week. Naming it reduces shame and helps you respond not react.
108,luteal,mood,Mind,22,28,Slow down intentionally,Resist the urge to push through fatigue. Scheduled rest makes you more effective not less.
109,luteal,mood,Mind,17,28,Comfort rituals,Warm baths candles a good playlist — small rituals that signal safety to your nervous system help measurably.
110,luteal,mood,Mind,22,28,Lower social expectations,Being around people can feel draining in the late luteal phase. Shorter or fewer plans is not antisocial.
111,luteal,mood,Mind,17,28,Reflective journaling,Write about what worked and what didn't this cycle. This phase brings honest insight worth capturing.
112,luteal,mood,Mind,22,28,Grounding practices,5-4-3-2-1 sensory grounding or body scan meditation reduces the anxiety that peaks in late luteal phase.
113,luteal,care,Care,17,28,Hydrate generously,Bloating eases with more water not less. Herbal teas like dandelion root act as a gentle natural diuretic.
114,luteal,care,Care,17,28,Prioritise sleep,Progesterone raises body temperature and disrupts sleep. A cooler room consistent bedtime and no screens help.
115,luteal,care,Care,22,28,Reduce alcohol completely,Alcohol worsens every PMS symptom — it disrupts sleep spikes cortisol and depletes the B vitamins you need.
116,luteal,care,Care,17,28,Breakout management,Progesterone dominance triggers breakouts. Stick to a gentle routine and avoid new skincare products.
117,luteal,care,Care,22,28,Track your full symptom picture,Logging luteal symptoms in detail gives you (and a doctor) a clear picture if PMS is significantly affecting you.
118,luteal,care,Care,17,28,Evening magnesium,Taking 300-400mg magnesium glycinate before bed in the luteal phase reduces cramps insomnia and anxiety.
119,luteal,care,Care,22,28,Heat pad for pre-cramps,Some people experience cramping 1-2 days before their period starts. A heat pad used early brings relief.
120,luteal,care,Care,17,28,Breast tenderness support,A well-fitting bra especially during exercise reduces the discomfort of progesterone-related breast swelling.
121,menstrual,food,Nourish,1,5,Beetroot for blood,Beetroot is rich in iron and folate and supports blood cell production during your period. Add to smoothies or salads.
122,menstrual,food,Nourish,1,5,Avoid cold raw foods,Cold salads and icy drinks can worsen cramping. Opt for warm cooked meals today.
123,menstrual,food,Nourish,1,3,Small frequent meals,Eating smaller portions every 3 hours keeps blood sugar stable and reduces nausea common on heavy flow days.
124,menstrual,food,Nourish,3,5,Peppermint for digestion,Peppermint tea soothes bloating and digestive discomfort that often accompanies the start of your period.
125,menstrual,move,Move,1,5,Legs up the wall,This restorative inversion reduces lower back pressure and encourages blood flow away from the pelvis. Hold 5 minutes.
126,menstrual,move,Move,1,5,Slow tai chi or qigong,These gentle flowing practices calm the nervous system and reduce pain perception without tiring your body.
127,menstrual,move,Move,3,5,Easy cycle ride,A flat leisurely bike ride on days 3-5 when flow lightens can lift mood and energy without overexerting.
128,menstrual,move,Move,1,5,Neck and shoulder release,Tension from cramps often travels upward. Gentle neck rolls and shoulder circles provide full-body relief.
129,menstrual,mood,Mind,1,5,Disconnect from screens,Blue light and social media increase cortisol. An evening screen-free hour helps your nervous system genuinely rest.
130,menstrual,mood,Mind,1,5,Listen to calming music,Music at 60 beats per minute activates the parasympathetic nervous system and measurably reduces anxiety.
131,menstrual,mood,Mind,1,5,Hot shower meditation,Stand under warm water and do nothing except feel the heat. Five minutes counts as real recovery.
132,menstrual,mood,Mind,1,5,Say no without guilt,Your energy is genuinely limited right now. Declining non-essential requests is self-awareness not selfishness.
133,menstrual,care,Care,1,5,Cold compress for headaches,Menstrual headaches are triggered by prostaglandins. A cold pack on the forehead often works faster than painkillers.
134,menstrual,care,Care,1,5,Elevate your legs,Lying with legs slightly elevated reduces pelvic pressure and eases the heavy sensation of a period.
135,menstrual,care,Care,1,5,Take painkillers with food,Ibuprofen is effective for cramps but must be taken with food to protect your stomach lining. Always eat first.
136,menstrual,care,Care,1,5,Note your cycle length,Day 1 of bleeding is day 1 of your cycle. Record it now so your predictions stay accurate next month.
137,follicular,food,Nourish,6,13,Colourful plate challenge,Try to hit 5 different colours on your plate today. Each colour represents different phytonutrients that support rising estrogen.
138,follicular,food,Nourish,6,13,Maca powder,A small amount of maca in a smoothie supports energy and hormonal balance as estrogen rises.
139,follicular,food,Nourish,6,13,Eggs for choline,Eggs provide choline which supports liver function important for processing the estrogen surge ahead.
140,follicular,food,Nourish,6,13,Reduce processed foods,Processed foods contain endocrine disruptors that interfere with the clean estrogen rise of the follicular phase.
141,follicular,move,Move,6,13,Rock climbing or bouldering,Problem-solving physical challenges suit the sharp cognitive and physical energy of the follicular phase perfectly.
142,follicular,move,Move,6,13,Cycling long distance,Estrogen boosts endurance. A longer bike ride this week will feel easier than at other times in your cycle.
143,follicular,move,Move,6,13,Swimming laps,Pool swimming builds cardiovascular fitness efficiently. Your breathing capacity and stamina are near their peak.
144,follicular,move,Move,6,13,Reformer pilates,More challenging than mat pilates. The resistance matches your rising strength and energy this week.
145,follicular,mood,Mind,6,13,Read something challenging,Your working memory and processing speed improve daily this phase. Tackle the book you kept putting off.
146,follicular,mood,Mind,6,13,Audit your habits,Clear-headed follicular energy is ideal for reviewing routines. What is working and what should you change.
147,follicular,mood,Mind,6,13,Reach out to someone new,Social confidence and verbal fluency are rising. Send the message to the contact you have been hesitating about.
148,follicular,mood,Mind,6,13,Visualise your goals,Estrogen enhances optimism and forward-thinking. Spend 10 minutes visualising a specific goal in detail.
149,follicular,care,Care,6,13,Gua sha or facial massage,Improved circulation from rising estrogen makes this phase ideal for lymphatic facial massage and gua sha.
150,follicular,care,Care,6,13,Start a supplement routine,Beginning a new supplement habit is easier when energy and motivation are high. Omega-3 vitamin D and magnesium are a good trio.
151,follicular,care,Care,6,13,Exfoliate gently,Skin cell turnover speeds up with rising estrogen. A gentle exfoliant once this week keeps skin bright and clear.
152,follicular,care,Care,6,13,Check your iron levels,If you feel unexpectedly tired in the follicular phase it could be low iron from your period. Worth a quick blood test.
153,ovulation,food,Nourish,14,16,Brazil nuts for selenium,One or two Brazil nuts provides your daily selenium which supports thyroid function and egg quality at ovulation.
154,ovulation,food,Nourish,14,16,Avocado for healthy fats,Monounsaturated fats in avocado support hormone production and cervical mucus quality around ovulation.
155,ovulation,food,Nourish,14,16,Reduce red meat today,High red meat intake around ovulation is linked to increased inflammation. Choose fish or plant protein instead.
156,ovulation,food,Nourish,14,16,Coconut water for electrolytes,Natural electrolytes support hydration during peak physical performance days around ovulation.
157,ovulation,move,Move,14,16,Personal best attempt,Try for a new personal record today. Ovulation is when your pain tolerance and power output are highest.
158,ovulation,move,Move,14,16,Martial arts or boxing,High intensity skill-based training suits your peak coordination and reflexes at ovulation.
159,ovulation,move,Move,14,16,Open water swimming,Open water swimming provides a full-body challenge that suits your peak endurance and confidence today.
160,ovulation,move,Move,14,16,Partner or team sport,Balance coordination and trust-based activities feel natural at ovulation when social confidence peaks.
161,ovulation,mood,Mind,14,16,Host or organise something,Your natural magnetism peaks at ovulation. Leading a gathering event or team meeting feels effortless now.
162,ovulation,mood,Mind,14,16,Record a voice note or video,Verbal fluency is at its highest. Record the content pitch or message you have been putting off.
163,ovulation,mood,Mind,14,16,Write your personal statement,High confidence and clear thinking make ovulation the best time to write about yourself for applications.
164,ovulation,mood,Mind,14,16,Ask for what you need,Assertiveness peaks now. Ask for the favour the raise or the conversation you need.
165,ovulation,care,Care,14,16,Protect skin from sun,Estrogen peak makes skin more photosensitive. Use SPF 30 or higher if spending time outdoors today.
166,ovulation,care,Care,14,16,Cold water face rinse,Skin can feel warm around ovulation due to the LH surge. A cold water rinse calms redness quickly.
167,ovulation,care,Care,14,16,Check your energy expenditure,It is easy to overdo it at ovulation because everything feels possible. Build in recovery time after intense efforts.
168,ovulation,care,Care,14,16,Honour your libido,Libido naturally peaks at ovulation. Whether partnered or solo this is a good time to honour that part of yourself.
169,luteal,food,Nourish,17,28,Tryptophan-rich foods,Turkey eggs and pumpkin seeds contain tryptophan which converts to serotonin the neurotransmitter that drops in the luteal phase.
170,luteal,food,Nourish,17,28,Wholegrains over refined carbs,Brown rice oats and wholemeal bread release energy slowly which prevents blood sugar crashes that worsen PMS.
171,luteal,food,Nourish,22,28,Warm comfort meals,Your body craves warmth late in the luteal phase. Soups stews and roasted vegetables satisfy without spiking blood sugar.
172,luteal,food,Nourish,17,28,Cut back on dairy if bloated,Some people find dairy worsens luteal bloating and breast tenderness. Try a few days without and notice the difference.
173,luteal,move,Move,17,21,Barre or dance fitness,Lower impact than HIIT but still engaging. Barre suits the early luteal phase when energy is still reasonable.
174,luteal,move,Move,17,28,Foam rolling and release,Spend 10 minutes foam rolling tight areas. Progesterone causes fluid retention which increases muscle tension.
175,luteal,move,Move,22,28,Yin yoga for hips,Long-held hip openers release the emotional and physical tension that accumulates in the late luteal phase.
176,luteal,move,Move,17,28,Pool walking or aqua aerobics,Water supports your body weight making movement feel easier on heavy or bloated days.
177,luteal,mood,Mind,17,28,Finish the half-done things,Luteal focus sharpens for completing tasks. Your list of unfinished projects is today to-do list.
178,luteal,mood,Mind,22,28,Notice the spiral and name it,The brain in late luteal phase amplifies threats. When a thought spirals ask: is this true right now or is this hormones.
179,luteal,mood,Mind,17,28,One meaningful conversation,One deep honest conversation with someone you trust restores more luteal energy than many shallow interactions.
180,luteal,mood,Mind,22,28,Body scan before sleep,A slow body scan meditation at bedtime lowers cortisol and helps you fall asleep despite late-luteal restlessness.
181,luteal,care,Care,17,28,Castor oil pack,A castor oil pack on the lower abdomen for 20 minutes reduces pelvic inflammation and supports liver detoxification.
182,luteal,care,Care,17,28,Reduce screens at night,Blue light disrupts progesterone-sensitive sleep. Night mode or blue light glasses from 8pm makes a real difference.
183,luteal,care,Care,22,28,Prepare your period kit,Stock your bag bathroom and desk with what you need. Day 1 will come. Being prepared removes stress when it arrives.
184,luteal,care,Care,17,28,Lymphatic self-massage,Gentle circular strokes from limbs toward the heart reduce fluid retention and puffiness common in the luteal phase.
185,luteal,care,Care,22,28,Nap without guilt,A 20-minute nap before 3pm pays back energy debt without disrupting night sleep. Late-luteal fatigue is real.
186,luteal,care,Care,17,28,Warm foot soak,A warm foot bath with Epsom salts draws tension downward and calms the nervous system in under 10 minutes.
187,luteal,food,Nourish,17,28,Pumpkin seeds daily,Two tablespoons of pumpkin seeds provide magnesium zinc and omega-3. All three reduce PMS symptoms significantly.
188,luteal,move,Move,17,28,Morning light walk,10-15 minutes of morning sunlight regulates cortisol rhythm disrupted in the luteal phase and improves sleep quality.
189,luteal,mood,Mind,17,28,Declutter digitally,Low creative energy suits administrative tasks. Clear your inbox unsubscribe from noise and organise your files.
190,luteal,care,Care,22,28,Epsom salt bath,A full bath with 2 cups of Epsom salts delivers magnesium transdermally and relieves full-body tension before your period.
191,menstrual,food,Nourish,1,5,Coconut water over sports drinks,Natural electrolytes in coconut water replenish what is lost during heavy bleeding without artificial additives.
192,menstrual,move,Move,1,5,Gentle joint mobilisation,Wrist ankle and shoulder circles from bed keep circulation moving on days when getting up feels hard.
193,follicular,food,Nourish,6,13,Seed cycling with pumpkin and flax,The seed cycling protocol uses pumpkin seeds and flaxseeds in the follicular phase to support estrogen metabolism naturally.
194,follicular,move,Move,6,13,Jump rope intervals,Short jump rope bursts suit the rising cardiovascular capacity of the follicular phase. Fun high reward low equipment needed.
195,ovulation,food,Nourish,14,16,Pomegranate juice,Rich in antioxidants and phytoestrogens pomegranate juice supports uterine lining health around ovulation.
196,ovulation,move,Move,14,16,Enter a competition,Competition suits your peak testosterone and confidence window. Enter the tournament play the match take on the challenge.
197,luteal,food,Nourish,17,28,Chamomile before bed,Chamomile tea contains apigenin which binds to GABA receptors and genuinely promotes sleep without grogginess.
198,luteal,move,Move,22,28,Stretch while watching TV,Low barrier movement. Spend your evening screen time doing hip flexor and hamstring stretches. No extra time required.
199,menstrual,mood,Mind,1,5,Visualise next month,Use quiet menstrual energy to look ahead. What do you want your next cycle to feel like. Plant that intention now.
200,follicular,mood,Mind,6,13,Make a vision board,Channel the rising creative energy of the follicular phase into a visual representation of what you are building toward.
201,menstrual,food,Nourish,1,5,Nettle tea for iron,Dried nettle leaf tea is one of the richest plant sources of iron. Steep for 10 minutes and drink 2 cups today.
202,menstrual,food,Nourish,1,5,Molasses for minerals,One tablespoon of blackstrap molasses contains iron calcium and magnesium. Stir into warm water or oat milk.
203,menstrual,food,Nourish,1,5,Vitamin K for flow control,Leafy greens like kale and chard contain vitamin K which supports healthy clotting and reduces excessively heavy flow.
204,menstrual,food,Nourish,1,5,Avoid alcohol entirely,Alcohol dilates blood vessels increases bleeding and worsens cramps. Even one drink makes period symptoms measurably worse.
205,menstrual,food,Nourish,1,3,Ginger shots for cramps,A small shot of fresh ginger juice reduces prostaglandin production as effectively as ibuprofen in some studies.
206,menstrual,food,Nourish,1,5,Fennel seeds after meals,Fennel seeds reduce bloating and digestive cramping. Chew a teaspoon after each meal or brew as a tea.
207,menstrual,food,Nourish,1,5,Folate-rich foods,Lentils asparagus and chickpeas support blood cell production to replace what is lost during menstruation.
208,menstrual,food,Nourish,1,5,Avoid carbonated drinks,Fizzy drinks increase bloating and gas significantly during menstruation. Still water and herbal teas are always better.
209,menstrual,food,Nourish,1,5,Cinnamon in your breakfast,Cinnamon reduces menstrual pain nausea and heavy bleeding according to multiple clinical trials. Add to oats or a smoothie.
210,menstrual,food,Nourish,1,5,Papaya for flow ease,Papaya contains papain which helps the uterus contract and expel the lining more efficiently reducing duration.
211,menstrual,food,Nourish,1,5,Zinc-rich snacks,Pumpkin seeds and cashews replenish zinc lost during menstruation. Zinc deficiency worsens cramps and mood.
212,menstrual,food,Nourish,1,5,Chickpea and spinach stew,A simple chickpea and spinach stew delivers iron folate and protein in one warm comforting meal.
213,menstrual,food,Nourish,1,3,Banana for potassium,Potassium reduces water retention and muscle cramping. A banana with nut butter is a gentle energy-sustaining snack.
214,menstrual,food,Nourish,1,5,Avoid excess fibre today,High-fibre foods can worsen loose stools which are common at the start of your period. Choose gentle wholegrains instead.
215,menstrual,food,Nourish,3,5,Reintroduce raw foods slowly,As flow lightens your digestion improves. Start with cooked vegetables before returning to raw salads and cold meals.
216,menstrual,food,Nourish,1,5,Tahini for calcium,Two tablespoons of tahini provide more calcium than a glass of milk plus iron and healthy fats. Add to everything.
217,menstrual,food,Nourish,1,5,Raspberry leaf tea,Traditional herbal remedy shown to tone the uterus reduce cramping duration and support healthy period flow.
218,menstrual,food,Nourish,1,5,Saffron for mood,A pinch of saffron in warm milk or tea has measurable antidepressant effects particularly helpful during menstruation.
219,menstrual,food,Nourish,1,5,Gentle bone broth,Bone broth provides collagen glycine and minerals in an easily absorbed form that supports recovery during bleeding.
220,menstrual,food,Nourish,1,5,Sweet potato over white potato,Sweet potato provides beta-carotene B6 and potassium. All three support hormonal balance and reduce PMS symptoms.
221,menstrual,food,Nourish,1,5,Dark leafy green smoothie,Blend spinach kale banana and a spoonful of nut butter for a nutrient-dense drink that is easy on cramping digestion.
222,menstrual,food,Nourish,1,5,Almond milk porridge,Oats provide slow-release carbohydrates and beta-glucan. Almond milk adds calcium. Together they stabilise energy and mood.
